text,label
Menarik juga bila slaid pembentangan diberitahu last minute,passive aggressive
Kita bincang semula tentang fail itu kemudian,neutral
"Wah hebat, semua orang dah buat kecuali dokumen itu",passive aggressive
Kita bincang semula tentang perbincangan tadi kemudian,neutral
Kita bincang semula kemudian,neutral
Terima kasih kerana bantu siapkan bahagian awak sebelum kelas,positive
Boleh update saya tentang fail itu bila ada masa,neutral
"Kalau ada perubahan pada fail itu, beritahu saya",neutral
Saya akan semak kemas kini itu sebelum kelas,neutral
Saya akan semak kemas kini itu hari ini,neutral
Menarik juga bila projek ini diberitahu last minute,passive aggressive
"Tak apa lah, mungkin saya je yang terlalu risau tentang mesej saya",passive aggressive
"Wah hebat, semua orang dah buat kecuali projek ini",passive aggressive
Boleh update saya tentang dokumen itu bila ada masa,neutral
Menarik juga bila laporan ini diberitahu last minute,passive aggressive
"Saya tunggu update awak sampai malam, tapi tak apa",passive aggressive
Kerjasama awak dalam kerja kumpulan ini sangat dihargai,positive
Terima kasih sebab beri respon yang jelas tentang kerja kumpulan ini,positive
Kerja ini nampak sangat teratur,positive
Saya akan semak mesej saya dari pagi,neutral
Kita bincang semula tentang kemas kini itu kemudian,neutral
Awak buat bahagian ini dengan sangat baik,positive
Saya suka cara awak uruskan projek ini,positive
"Saya ingatkan bahagian awak kita buat sama-sama, rupanya saya sorang je",passive aggressive
Terima kasih sebab beri respon yang jelas tentang bahagian awak,positive
Terima kasih kerana bantu siapkan slaid pembentangan dari pagi,positive
"Baguslah, perbincangan tadi masih belum siap walaupun semua orang dah tunggu",passive aggressive
"Bagus kerja awak untuk fail itu, memang membantu",positive
Boleh update saya tentang kerja kumpulan ini bila ada masa,neutral
Menarik juga bila fail itu diberitahu last minute,passive aggressive
"Bagus kerja awak untuk mesej saya, memang membantu",positive
"Tak apa lah, mungkin saya je yang terlalu risau tentang tugasan ini",passive aggressive
Kita bincang semula tentang slaid pembentangan kemudian,neutral
Terima kasih kerana bantu siapkan kerja kumpulan ini dari semalam,positive
Terima kasih kerana bantu siapkan dokumen itu sebelum kelas,positive
Terima kasih sebab beri respon yang jelas tentang dokumen itu,positive
"Saya dah remind beberapa kali, mungkin awak terlalu sibuk",passive aggressive
Boleh beritahu jika awak perlukan bantuan,neutral
Terima kasih kerana bantu siapkan laporan ini semalam,positive
"Saya dah follow up tentang projek ini banyak kali, mungkin awak terlepas pandang",passive aggressive
